Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude,Ville
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR07057,Moulins Centre,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,54.0,54.10448295782791,µg-m3,,,,R,1,46.5619722,3.34063888888888,Yzeure
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR07058,Montluçon,Urbaine,O3,Fond,Oui,mesures indicatives,Moy. annuelle,49.0,48.61806650668504,µg-m3,,,,R,1,46.340723,2.593945,Montluçon
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR07059,Vichy,Urbaine,O3,Fond,Oui,mesures indicatives,Moy. annuelle,52.0,51.568973110802034,µg-m3,,,,R,1,46.130431,3.425694,Vichy
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG04,ZAG CLERMONT-FERRAND,FR07060,Royat Périurbaine,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,64.0,63.7350948196112,µg-m3,,,,R,1,45.764111,3.046111,Royat
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG04,ZAG CLERMONT-FERRAND,FR07061,Riom Périurbaine,Périurbaine,O3,Fond,Oui,mesures indicatives,Moy. annuelle,48.0,47.503405286852,µg-m3,,,,R,1,45.89674,3.122254,Riom
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO OCCITANIE,FR76ZAG02,ZAG MONTPELLIER,FR08016,Montpellier Prés d'Arènes,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,55.0,55.17689060851216,µg-m3,,,,R,1,43.5915,3.88681,Montpellier
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO OCCITANIE,FR76ZAG02,ZAG MONTPELLIER,FR08017,Montpellier Périurbaine Sud (Lattes),Périurbaine,O3,Fond,Oui,mesures indicatives,Moy. annuelle,63.0,63.27293561724751,µg-m3,,,,R,1,43.5705,3.9118,Lattes
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO OCCITANIE,FR76ZAG02,ZAG MONTPELLIER,FR08018,Montpellier St Gely,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,67.0,67.44010887190167,µg-m3,,,,R,1,43.6926,3.80021,Saint-Gély-du-Fesc
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR08022,Agathois-piscénois,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,67.0,67.48597637885578,µg-m3,,,,R,1,43.2875,3.50484,Agde
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR08023,Biterrois-Narbonnais,Rurale régionale,O3,Fond,Oui,mesures fixes,Moy. annuelle,68.0,67.71366619784344,µg-m3,,,,R,1,43.4068,3.18878,Corneilhan
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR08209,Gard Rhodanien2,Rurale près des villes,O3,Fond,Oui,mesures fixes,Moy. annuelle,64.0,64.47826490373451,µg-m3,,,,R,1,43.9426,4.67958,Saze
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO OCCITANIE,FR76ZAR02,ZAR NIMES,FR08614,Nimes Gauzy,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,60.0,60.46609795728868,µg-m3,,,,R,1,43.8344,4.3744,Nîmes
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO OCCITANIE,FR76ZAR02,ZAR NIMES,FR08617,Nimes La Calmette,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,56.0,55.9969360308736,µg-m3,,,,R,1,43.9254,4.26581,La Calmette
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO OCCITANIE,FR76ZAR01,ZAR PERPIGNAN,FR08712,Perpignan St Esteve,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,67.0,66.7531121281465,µg-m3,,,,R,1,42.7198,2.83988,Saint-Estève
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO OCCITANIE,FR76ZAR01,ZAR PERPIGNAN,FR08714,Perpignan Les Carmes,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,61.0,61.08828442176076,µg-m3,,,,R,1,42.6955,2.90053,Perpignan
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09003,place de VERDUN,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,57.0,57.321926444833565,µg-m3,,,,R,1,46.162647,-1.153684,La Rochelle
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09008,Aytré,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,60.0,59.50691085003455,µg-m3,,,,R,1,46.135134,-1.117086,Aytré
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09015,Les Couronneries,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,58.0,58.13418834296723,µg-m3,,,,R,1,46.586958,0.358458,Poitiers
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09103,Square Pablo Casals,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,53.0,53.06249562273846,µg-m3,,,,R,1,45.647428,0.167162,Angoulême
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09302,Zoodyssée Chizé,Rurale régionale,O3,Fond,Oui,mesures fixes,Moy. annuelle,58.0,58.24894823918699,µg-m3,,,,R,1,46.143234,-0.395913,Villiers-en-Bois
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09303,Niort Venise,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,59.0,59.37772812793992,µg-m3,,,,R,1,46.320028,-0.482861,Niort
