polluant;ville;valeur;valeur_brute;codgeo;nom_commune;population_2022;mediane_niveau_vie_2021;densite_population_2022;part_commerce_transport_services_2023;part_industrie_2023;nb_hotels_2022;nb_etablissements_2023;taux_activite_2022;part_construction_2023;nb_campings_2022
NOX as NO2;Grande-Synthe;23.0;22.61936936936941;59271;Grande-Synthe;20347.0;16650.0;949.0;27.5;46.5;5.0;427.0;65.2;4.4;0.0
NOX as NO2;Guéret;16.0;16.238254868129168;23096;Guéret;12814.0;20830.0;488.9;38.6;3.6;5.0;814.0;72.4;2.2;2.0
NOX as NO2;Haguenau;24.0;23.99287680660697;67180;Haguenau;36070.0;23110.0;197.5;31.8;26.3;9.0;1577.0;78.4;4.0;1.0
NOX as NO2;Halluin;22.0;22.30736659650861;59279;Halluin;20684.0;21590.0;1646.8;48.5;19.4;2.0;376.0;76.2;4.0;0.0
NOX as NO2;Harnes;19.0;19.25296728971959;62413;Harnes;12264.0;18510.0;1139.8;39.1;31.5;0.0;213.0;68.5;9.5;0.0
NOX as NO2;Héming;11.0;11.06883790638684;57314;Héming;495.0;23570.0;134.1;4.3;57.3;0.0;13.0;82.3;32.2;0.0
NOX as NO2;Ifs;17.0;16.64019270474881;14341;Ifs;11868.0;22310.0;1309.9;60.2;8.4;3.0;402.0;73.9;10.6;0.0
NOX as NO2;Jonville-en-Woëvre;7.0;7.412564734895206;55256;Jonville-en-Woëvre;144.0;23170.0;13.3;0.0;16.7;0.0;4.0;67.1;16.7;0.0
NOX as NO2;Joué-lès-Tours;12.0;12.34253149370126;37122;Joué-lès-Tours;38432.0;21520.0;1185.8;44.6;14.6;9.0;928.0;74.4;14.0;0.0
NOX as NO2;La Roche-sur-Yon;11.0;10.898703831153922;85191;La Roche-sur-Yon;54699.0;22310.0;625.0;40.2;8.0;10.0;2599.0;72.2;4.2;1.0
NOX as NO2;La Rochelle;27.0;26.50564535298321;17300;La Rochelle;79961.0;22200.0;2812.6;40.4;8.8;42.0;3854.0;69.3;1.8;1.0
NOX as NO2;La Seyne-sur-Mer;24.0;23.562905452035967;83126;La Seyne-sur-Mer;62905.0;21400.0;2837.4;46.9;7.6;12.0;2031.0;71.9;9.3;4.0
NOX as NO2;Labastide-Cézéracq;11.0;11.14871499366139;64288;Labastide-Cézéracq;582.0;23900.0;116.2;23.3;8.3;0.0;20.0;76.9;50.0;0.0
NOX as NO2;Lacq;13.0;13.257522123893771;64300;Lacq;1034.0;24060.0;45.1;29.8;49.7;1.0;69.0;77.8;15.7;0.0
NOX as NO2;Laval;14.0;13.645499256548062;53130;Laval;49474.0;21660.0;1445.8;41.5;10.7;13.0;2108.0;72.8;3.4;0.0
NOX as NO2;Le Havre;28.666666666666668;28.991525884644506;76351;Le Havre;166462.0;20180.0;3545.5;50.4;8.8;25.0;4789.0;70.7;4.3;0.0
NOX as NO2;Le Mans;12.5;12.745182799989845;72181;Le Mans;145182.0;21180.0;2749.1;47.6;8.4;24.0;4784.0;72.7;3.6;0.0
NOX as NO2;Le Petit-Quevilly;91.0;91.32691466083156;76498;Le Petit-Quevilly;21935.0;18940.0;5042.5;49.8;10.5;1.0;573.0;73.3;13.8;0.0
NOX as NO2;Le Pontet;26.0;25.86669793621016;84092;Le Pontet;17985.0;19590.0;1669.9;67.6;9.9;10.0;870.0;67.4;4.4;1.0
NOX as NO2;Le Temple;3.0;3.08138279140744;33528;Le Temple;648.0;26430.0;9.0;8.2;2.0;0.0;19.0;82.0;16.3;0.0
NOX as NO2;Les Abymes;39.0;38.70263991552273;97101;;;;;;;;;;;
NOX as NO2;Lieudieu;4.0;3.8866474889128617;38211;Lieudieu;347.0;22330.0;58.4;38.1;19.0;0.0;9.0;82.6;0.0;0.0
NOX as NO2;Lille;25.0;25.08064920998982;59350;Lille;238695.0;20520.0;6853.1;42.4;2.3;58.0;10649.0;67.4;1.5;0.0
NOX as NO2;Limoges;32.5;32.68937276231048;87085;Limoges;129754.0;20590.0;1662.9;39.3;9.2;35.0;5023.0;68.8;3.9;0.0
NOX as NO2;Lisieux;15.0;14.793859344224328;14366;Lisieux;19540.0;19440.0;1495.0;43.9;12.2;11.0;903.0;72.6;3.4;1.0
NOX as NO2;Lognes;25.0;25.060016429996377;77258;Lognes;14678.0;22290.0;4355.5;71.5;8.0;1.0;461.0;75.8;5.6;0.0
NOX as NO2;Lorient;17.5;17.417126102150654;56121;Lorient;58202.0;20860.0;3329.6;40.2;12.8;15.0;2615.0;70.8;3.9;0.0
NOX as NO2;Lourdes;17.0;16.96746323529419;65286;Lourdes;13266.0;18810.0;359.1;51.1;9.5;133.0;903.0;68.9;4.6;8.0
NOX as NO2;Lunel-Viel;13.0;13.461917366785592;34146;Lunel-Viel;4497.0;21680.0;375.7;48.9;13.3;0.0;203.0;78.4;16.3;0.0
NOX as NO2;Lunéville;36.0;36.11151691948672;54329;Lunéville;17920.0;19480.0;1096.7;33.1;6.1;2.0;598.0;70.9;5.3;1.0
NOX as NO2;Manosque;12.0;12.193946008041396;4112;Manosque;22807.0;21170.0;402.0;53.0;11.2;11.0;1365.0;72.9;5.4;1.0
NOX as NO2;Mantes-la-Jolie;30.0;30.368701223063468;78361;Mantes-la-Jolie;44246.0;17310.0;4717.1;42.8;3.8;1.0;1120.0;67.3;2.1;0.0
NOX as NO2;Marignane;31.0;30.88245553643143;13054;Marignane;33164.0;21690.0;1432.0;35.8;48.0;2.0;1063.0;74.7;3.4;1.0
NOX as NO2;Marmande;22.0;21.93676225155517;47157;Marmande;17361.0;19840.0;385.3;39.5;18.0;5.0;894.0;72.1;5.4;0.0
NOX as NO2;Marseille;64.2;64.1364895198079;13208;;;;;;;;;;;
NOX as NO2;Maubeuge;17.0;16.886376846694155;59392;Maubeuge;28879.0;16320.0;1532.0;24.2;18.5;4.0;816.0;63.6;3.0;0.0
NOX as NO2;Melun;56.5;56.459139397782664;77288;Melun;43685.0;19260.0;5433.5;22.4;2.0;1.0;1446.0;74.0;1.8;1.0
NOX as NO2;Metz;28.333333333333332;28.575178333815845;57463;Metz;121695.0;20940.0;2901.6;45.8;4.6;26.0;5203.0;70.9;3.6;1.0
NOX as NO2;Mont-de-Marsan;26.0;26.13005181347151;40192;Mont-de-Marsan;31455.0;22030.0;852.9;31.0;1.8;10.0;1220.0;71.0;2.7;0.0
NOX as NO2;Montargis;34.0;33.59776783165583;45208;Montargis;14819.0;16670.0;3322.6;41.2;2.3;6.0;722.0;73.9;4.5;1.0
NOX as NO2;Montauban;21.0;21.37904559414124;82121;Montauban;62487.0;21630.0;462.3;45.7;7.8;12.0;3076.0;72.7;5.7;0.0
NOX as NO2;Montbéliard;26.0;26.262140556019634;25388;Montbéliard;25516.0;18600.0;1699.9;38.4;4.6;8.0;953.0;67.5;3.5;0.0
NOX as NO2;Montceau-les-Mines;20.0;19.819562967222545;71306;Montceau-les-Mines;16946.0;19210.0;1019.6;48.9;12.2;5.0;668.0;67.8;4.2;0.0
NOX as NO2;Montgeron;25.0;24.906649118791364;91421;Montgeron;23890.0;25500.0;2129.2;35.1;11.6;0.0;559.0;75.4;7.5;0.0
NOX as NO2;Montlhéry;177.0;177.21230363490344;91425;Montlhéry;9238.0;26310.0;2816.5;57.7;2.8;0.0;324.0;82.4;18.0;0.0
NOX as NO2;Montoir-de-Bretagne;9.0;8.765387699003519;44103;Montoir-de-Bretagne;7289.0;22090.0;198.1;36.1;53.2;0.0;324.0;78.0;6.0;0.0
NOX as NO2;Montpellier;55.25;55.36444626878586;34172;Montpellier;307101.0;19670.0;5399.1;46.8;3.9;57.0;12224.0;67.1;3.0;0.0
NOX as NO2;Mourenx;6.0;6.345237822349543;64410;Mourenx;5744.0;18900.0;906.0;18.8;27.9;0.0;183.0;69.6;3.7;0.0
NOX as NO2;Mulhouse;39.333333333333336;39.340335558133006;68224;Mulhouse;104924.0;16620.0;4730.6;40.4;4.1;16.0;3795.0;67.5;5.4;1.0
