code_geo,libelle,part_commerce_transport_services_2023,population_2022,nb_etablissements_2023,densite_population_2022,taux_activite_2022,mediane_niveau_vie_2021,part_industrie_2023,part_construction_2023,nb_hotels_2022,nb_campings_2022
57498,Neufchef,22.6,2636.0,35.0,157.5,77.9,26860.0,1.5,6.0,0.0,0.0
57499,Neufgrange,41.7,1349.0,18.0,188.1,79.3,26410.0,30.6,1.4,0.0,1.0
57500,Neufmoulins,71.4,37.0,2.0,19.2,80.0,,0.0,0.0,0.0,0.0
57501,Neufvillage,0.0,48.0,3.0,78.7,68.6,,0.0,73.3,0.0,0.0
57502,Neunkirchen-lès-Bouzonville,14.3,333.0,3.0,87.6,76.9,25390.0,0.0,0.0,0.0,0.0
57504,Niderhoff,33.3,277.0,5.0,52.3,79.1,23260.0,0.0,8.3,0.0,0.0
57505,Niderviller,18.5,1152.0,33.0,106.9,78.3,24510.0,32.1,6.2,0.0,0.0
57506,Niederstinzel,0.0,236.0,2.0,18.2,73.3,21000.0,0.0,0.0,0.0,0.0
57507,Niedervisse,25.0,276.0,11.0,47.8,76.7,25800.0,22.9,2.1,0.0,0.0
57508,Nilvange,27.6,4375.0,60.0,1556.9,75.5,21520.0,28.7,2.6,0.0,0.0
57509,Nitting,10.7,514.0,12.0,58.0,79.5,23900.0,0.0,32.1,0.0,0.0
57510,Noisseville,26.5,1103.0,30.0,424.2,82.8,28370.0,12.2,28.6,0.0,0.0
57511,Norroy-le-Veneur,75.9,1000.0,158.0,118.3,77.0,28310.0,6.1,16.5,1.0,0.0
57512,Nouilly,0.7,718.0,7.0,299.2,80.8,28670.0,0.0,7.4,0.0,0.0
57513,Nousseviller-lès-Bitche,70.0,155.0,5.0,31.9,75.0,25560.0,0.0,0.0,0.0,0.0
57514,Nousseviller-Saint-Nabor,0.0,1185.0,11.0,193.3,80.0,25870.0,0.0,54.5,0.0,0.0
57515,Novéant-sur-Moselle,4.0,1861.0,29.0,144.4,69.8,24000.0,0.6,2.3,0.0,0.0
57516,Oberdorff,0.0,332.0,6.0,78.7,77.1,25900.0,47.1,5.9,0.0,0.0
57517,Obergailbach,69.2,270.0,2.0,30.0,77.7,23790.0,0.0,0.0,0.0,0.0
57518,Oberstinzel,0.0,320.0,5.0,63.1,78.9,22420.0,0.0,43.8,0.0,0.0
57519,Obervisse,0.0,157.0,4.0,35.7,77.2,25040.0,0.0,14.3,0.0,0.0
57520,Obreck,0.0,37.0,1.0,11.4,82.1,,0.0,0.0,0.0,0.0
57521,Œting,31.2,2636.0,45.0,600.5,77.9,26690.0,64.4,0.9,1.0,0.0
57524,Ommeray,0.0,128.0,2.0,12.6,74.4,23250.0,0.0,0.0,0.0,0.0
57525,Oriocourt,0.0,56.0,3.0,12.6,81.8,,0.0,83.3,0.0,0.0
57526,Ormersviller,27.3,383.0,6.0,52.5,80.2,26120.0,0.0,36.4,0.0,0.0
57527,Orny,0.0,418.0,4.0,57.3,80.5,25670.0,0.0,73.3,0.0,0.0
57528,Oron,0.0,107.0,4.0,19.9,72.3,22090.0,33.3,0.0,0.0,0.0
57529,Ottange,15.5,3012.0,32.0,194.6,75.0,27400.0,10.1,0.0,0.0,0.0
57530,Ottonville,30.0,455.0,11.0,29.0,79.7,23330.0,0.0,30.0,0.0,0.0
57531,Oudrenne,9.1,730.0,8.0,35.8,81.0,26960.0,0.0,27.3,0.0,0.0
57532,Pagny-lès-Goin,96.6,231.0,12.0,44.7,84.3,23020.0,0.0,1.1,0.0,0.0
57533,Pange,11.0,870.0,20.0,101.5,76.5,29680.0,0.0,12.7,0.0,0.0
57534,Peltre,38.6,1803.0,97.0,215.4,71.5,29680.0,7.0,14.7,0.0,0.0
57535,Petit-Réderching,41.8,1416.0,38.0,128.7,77.0,23140.0,24.5,15.2,0.0,0.0
57536,Petit-Tenquin,0.0,216.0,8.0,44.3,76.0,23750.0,25.0,0.0,0.0,0.0
57537,Petite-Rosselle,18.4,6176.0,62.0,1223.0,69.1,19950.0,0.8,4.7,0.0,0.0
57538,Pettoncourt,10.0,298.0,6.0,60.8,79.9,23490.0,0.0,20.0,0.0,0.0
57539,Pévange,0.0,40.0,1.0,20.6,80.0,,0.0,0.0,0.0,0.0
57540,Phalsbourg,64.6,4657.0,197.0,354.1,76.3,22420.0,3.3,11.7,2.0,0.0
57541,Philippsbourg,56.4,615.0,20.0,25.9,76.5,22950.0,16.4,0.0,2.0,1.0
57542,Piblange,10.9,965.0,14.0,100.6,76.5,22130.0,7.3,9.1,0.0,0.0
57543,Pierrevillers,16.2,1460.0,27.0,250.4,81.0,26450.0,0.3,6.0,0.0,0.0
57544,Plaine-de-Walsch,36.4,605.0,5.0,121.5,77.8,23860.0,0.0,0.0,1.0,0.0
57545,Plappeville,17.9,2025.0,27.0,797.2,75.7,31940.0,0.0,13.9,0.0,0.0
57546,Plesnois,36.1,782.0,30.0,251.4,74.8,30870.0,21.3,25.0,0.0,0.0
57547,Pommérieux,13.0,728.0,13.0,168.9,79.6,27990.0,0.0,30.4,0.0,0.0
