Code;Libellé;Part des effectifs des commerces, transports, services divers 2023;Population municipale 2022;Nombre d'établissements 2023;Densité de population (historique depuis 1876) 2022;Taux d'activité par tranche d'âge 2022;Médiane du niveau de vie 2021;Part des effectifs de l'industrie 2023;Part des effectifs de la construction 2023
35084;Comblessac;3.7;677;10;39.3;77.1;21300;22.2;3.7
35085;Combourg;42.7;6324;266;99.5;77,0;22720;16,0;5.7
35086;Combourtillé;17.2;608;13;65.7;81,0;21560;70.4;7.7
35087;Cornillé;37.5;967;20;77.5;80.6;23510;21.4;28.6
35088;Corps-Nuds;44.1;3555;80;157.6;80.8;23570;5.6;17.1
35089;La Couyère;25.9;447;16;38.1;82,0;22730;0,0;7.4
35090;Crevin;31.4;2790;66;335.7;79.5;24190;34.9;20.3
35091;Le Crouais;36.2;591;11;94.6;83.1;24090;12.8;17,0
35092;Cuguen;2.2;830;21;35.3;78.9;21600;4.3;41.3
35093;Dinard;52.3;10407;542;1327.4;73.5;25920;15.6;3.4
35094;Dingé;17.7;1690;31;32,0;80.6;22030;0,0;21.9
35095;Dol-de-Bretagne;50.3;5786;313;372.6;72.7;21700;3.5;4.8
35096;Domagné;49.4;2439;74;84.1;82.7;23760;34.7;1.9
35097;Domalain;17.2;2050;53;61.1;81.7;22980;21.7;17.2
35098;La Dominelais;12.9;1414;17;43.6;81.8;22440;16.1;14.5
35099;Domloup;34.7;3839;105;207.2;82.2;26730;17.3;29.1
35101;Dourdain;6.2;1225;18;88.8;83.2;23050;2.1;29.2
35102;Drouges;11.1;503;14;43.3;80.8;21080;0,0;24.4
35103;Eancé;16,0;430;13;26.1;76.7;21590;16,0;0,0
35104;Epiniac;64.8;1423;21;59.9;80.1;22340;0,0;6,0
35105;Erbrée;91.5;1713;33;48.2;83.1;23740;0.5;2.2
35106;Ercé-en-Lamée;28.6;1568;41;40,0;78.3;21490;11.4;10.7
35107;Ercé-près-Liffré;39.8;2010;25;127.4;82.1;25010;5.4;9.7
35108;Essé;16.2;1028;30;44.3;81.6;23770;39.4;16.2
35109;Étrelles;54.4;2670;121;98.3;80.6;23730;35,0;5.5
35110;Feins;45.5;1066;14;52.4;84.8;22210;0,0;2.3
35111;Le Ferré;16,0;727;16;43,0;78.7;21070;20,0;36,0
35114;Forges-la-Forêt;0,0;265;4;43.9;74.9;20550;0,0;50,0
35115;Fougères;30.4;20602;764;1969.6;73.5;20620;26.3;4.7
35116;La Fresnais;25.1;2508;45;173.8;80,0;21560;2.9;31.6
35117;Gaël;81.3;1617;47;31,0;79.2;21290;1.1;2.4
35118;Gahard;29.2;1523;18;61,0;84.4;24060;0,0;0,0
35119;Gennes-sur-Seiche;20.1;943;15;51,0;84.3;22880;0,0;0,0
35120;Gévezé;38.4;5987;122;217.4;80.9;25190;4.7;14.6
35121;Gosné;28.2;2098;41;115.7;82.6;24740;2.9;23.5
35122;La Gouesnière;20.9;2000;64;228.8;80.7;23750;13.2;36.2
35123;Goven;50.7;4326;81;108.9;80.2;24650;5,0;17.6
35124;Grand-Fougeray;44.2;2523;109;45.5;81.9;22300;22.8;7.3
35125;La Guerche-de-Bretagne;31.7;4450;195;385.9;75.6;21050;34.8;6.8
35126;Guichen;46.5;9203;280;214.1;80.7;25270;20.9;6.4
35127;Guignen;41.4;4149;71;78.2;81.2;23440;9.9;17.8
35128;Guipel;35.2;1735;34;69.1;83.5;22960;1.9;7.5
35130;Hédé-Bazouges;16.6;2273;65;156.5;78.8;24700;17.2;10.2
35131;L'Hermitage;30.2;4683;118;685.7;77,0;24040;37.7;8.8
35132;Hirel;24.4;1384;30;140.5;78.8;22390;0.8;7.3
35133;Iffendic;32.4;4603;102;62.5;79.3;23340;2.8;18.8
35134;Les Iffs;14.3;274;5;60.6;77.1;24430;0,0;0,0
35135;Irodouër;20.7;2308;38;98,0;81.7;23000;1.2;7.9
35136;Janzé;46.8;8618;279;208.9;77.8;23450;14.7;6.2
35137;Javené;48.1;2185;80;118.4;81.3;23730;42.1;2.1
35138;Laignelet;27.7;1217;18;82.1;79.9;23920;1.8;15.1
35139;Laillé;38,0;5154;131;160.9;78.7;26950;35.9;9.2
35140;Lalleu;11.1;581;15;37.6;78.7;20940;5.6;22.2
35141;Landavran;8.3;682;6;136.1;83.8;24000;0,0;16.7
35142;Landéan;15.3;1225;33;44.9;78.2;21380;3.1;50,0
35143;Landujan;30.4;930;19;64.9;81.5;22880;0,0;19.6
35144;Langan;22.2;1090;17;139.7;82.8;22890;0,0;16.7
35145;Langon;7.9;1393;25;38.1;77.9;20490;75.3;5.1
35146;Langouet;51,0;610;9;87.3;83.4;23410;0,0;3.9
35148;Lanrigan;8.3;144;5;36.2;82.1;22450;0,0;33.3
35149;Lassy;33.8;1817;21;186.2;80.1;24690;4.4;10.3
